season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,8,main,,Matej Žagar,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,8,main,,Krzysztof Kasprzak,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,9,main,,Leon Madsen,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,9,main,,Artiom Łaguta,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,9,main,,Robert Lambert,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,9,main,,Max Fricke,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,10,main,,Martin Vaculik,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,10,main,,Fredrik Lindgren,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,10,main,,Tai Woffinden,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,10,main,,Oliver Berntzon,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,11,main,,Bartosz Zmarzlik,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,11,main,,Jason Doyle,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,11,main,,Matej Žagar,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,11,main,,Gleb Chugunov,0,4,4
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,12,main,,Emil Sajfutdinow,3,1,1
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,12,main,,Maciej Janowski,2,2,2
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,12,main,,Anders Thomsen,1,3,3
2021,3,2021-07-30,Grand Prix Polski we Wrocławiu,,12,main,,Krzysztof Kasprzak,0,4,4
